case_id,case_ordinal,method_ordinal,method_mutation_ordinal,method_id,authenticated,mutation_id,target_component,mutation_class,parser_level,expected_outcome,expected_accepted,expected_plaintext_changed,failure_stage,expected_exception_class,expected_parser_code,base_input_sha256,donor_input_sha256,context_sha256,original_object_sha256,mutated_object_sha256,original_object_bytes,mutated_object_bytes,byte_difference_count,nonce_bytes,public_payload_bytes,protected_payload_bytes,tag_bytes,byte_distinct
AM011_B02_chacha20_poly1305_tag_bit_flip,11,2,3,B02_chacha20_poly1305,true,tag_bit_flip,tag,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,c9517a211fd0dd657ba2e59f72a10ee944c1e6bb423ef667756300e8016330bc,1167,1167,1,12,0,768,16,true
AM012_B02_chacha20_poly1305_descriptor_mutation,12,2,4,B02_chacha20_poly1305,true,descriptor_mutation,descriptor,header_semantic_mutation,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,1d833b5000b2172fda89d18b986429b1b9d9f6a179efe1c3bd69c2b9f0755dbc,1167,1171,1101,12,0,768,16,true
AM013_B02_chacha20_poly1305_metadata_mutation,13,2,5,B02_chacha20_poly1305,true,metadata_mutation,metadata,header_semantic_mutation,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,c5e39b5f219fc53c2975559498450ac0ffc642b1a9b71339ce0c8ff503ef13f0,1167,1167,1,12,0,768,16,true
AM014_B02_chacha20_poly1305_protected_payload_splice,14,2,6,B02_chacha20_poly1305,true,protected_payload_splice,protected_payload,same_length_splice,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,bab10fd7acbbb65273faa0e234e85a56e4e08f7a6d9f90f4994b28dbad4646d7,1167,1167,766,12,0,768,16,true
AM015_B02_chacha20_poly1305_trailing_byte_append,15,2,7,B02_chacha20_poly1305,true,trailing_byte_append,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,5ed8095c0965983aeda11eb0a33aacab2a9cc3d995b5459a2255153a8568ad03,1167,1168,1,12,0,768,16,true
AM016_B02_chacha20_poly1305_one_byte_truncation,16,2,8,B02_chacha20_poly1305,true,one_byte_truncation,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,000931e37e79274530276c07c0a47a824491f5c889ed7f67fc40fbe2fb148a4b,1167,1166,1,12,0,768,16,true
AM017_B03_shake_hmac_nonce_bit_flip,17,3,1,B03_shake_hmac,true,nonce_bit_flip,nonce,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,ValueError,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,ebdd35acf164978c5834a1fd138f7c83a913a4304df20721557fe5a13cac6fec,1183,1183,1,16,0,768,32,true
AM018_B03_shake_hmac_protected_payload_bit_flip,18,3,2,B03_shake_hmac,true,protected_payload_bit_flip,protected_payload,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,ValueError,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,a5bc1b419c0db357fc35f7129b26b4fc41586db03c3b3c66351222a6cf4546b2,1183,1183,1,16,0,768,32,true
AM019_B03_shake_hmac_tag_bit_flip,19,3,3,B03_shake_hmac,true,tag_bit_flip,tag,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,ValueError,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,99b5abfc274d7cdf49765b441cecfa38e2a1bea828cde4689377d5aa9511c305,1183,1183,1,16,0,768,32,true
AM020_B03_shake_hmac_descriptor_mutation,20,3,4,B03_shake_hmac,true,descriptor_mutation,descriptor,header_semantic_mutation,false,integrity_reject,false,NA,integrity_or_release,ValueError,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,a848898c793654874835019bd86d8549c5bb345f67008bb07b38a1f75ef09146,1183,1187,1114,16,0,768,32,true
AM021_B03_shake_hmac_metadata_mutation,21,3,5,B03_shake_hmac,true,metadata_mutation,metadata,header_semantic_mutation,false,integrity_reject,false,NA,integrity_or_release,ValueError,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,aaf4c91794033e686d19ba5c61cd9bfcca5d74ab8cd2ccaf595f7dbfa136393a,1183,1183,1,16,0,768,32,true
AM022_B03_shake_hmac_protected_payload_splice,22,3,6,B03_shake_hmac,true,protected_payload_splice,protected_payload,same_length_splice,false,integrity_reject,false,NA,integrity_or_release,ValueError,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,68d049288dc05621008f57c12b75f8370737950be42ee18b628131df528117e4,1183,1183,767,16,0,768,32,true
AM023_B03_shake_hmac_trailing_byte_append,23,3,7,B03_shake_hmac,true,trailing_byte_append,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,fb31a2fef255cb8f09e870d98815f1b53790853a618a004375dd9caa17874e6f,1183,1184,1,16,0,768,32,true
AM024_B03_shake_hmac_one_byte_truncation,24,3,8,B03_shake_hmac,true,one_byte_truncation,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,f1cc1bbccc482480dab4b8972afbe21363a6be63e4a86d7d3b5a7d2e01a057d8,11bf22d42bb5322c25d59674355370b909161cc87c7742029882a683e6812064,4a5c7c7892be59877a602fbd5967eb331189a0cd461bb3066b9b1dc3e3bf7491,1183,1182,1,16,0,768,32,true
AM025_B04_public_high_entropy_nonce_bit_flip,25,4,1,B04_public_high_entropy,false,nonce_bit_flip,nonce,component_bit_flip,false,accepted_plaintext_changed,true,true,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,69d97cfff121d79e6550c76d912ee782e5e714c1338849bd027812290bb79fc6,bf803cba4e38e80dc86aaf546efffe8ca33d326ccbac6c1f9dbba720204523af,c917f61ca03d12ad6e732411d64ba94312ac69182499e758b2e8b43458569a0b,1205,1205,1,12,0,768,0,true
AM026_B04_public_high_entropy_protected_payload_bit_flip,26,4,2,B04_public_high_entropy,false,protected_payload_bit_flip,protected_payload,component_bit_flip,false,accepted_plaintext_changed,true,true,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,69d97cfff121d79e6550c76d912ee782e5e714c1338849bd027812290bb79fc6,bf803cba4e38e80dc86aaf546efffe8ca33d326ccbac6c1f9dbba720204523af,48d7c05c71e9f3f5dd637f742874eba7205202d1865c398bf0c633e60e66ab22,1205,1205,1,12,0,768,0,true
AM027_B04_public_high_entropy_descriptor_mutation,27,4,3,B04_public_high_entropy,false,descriptor_mutation,descriptor,header_semantic_mutation,false,accepted_plaintext_unchanged,true,false,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,69d97cfff121d79e6550c76d912ee782e5e714c1338849bd027812290bb79fc6,bf803cba4e38e80dc86aaf546efffe8ca33d326ccbac6c1f9dbba720204523af,a4ed32be0b596990549a1863c838210eda82d99c1a29739bf6773b5b3645d213,1205,1209,1138,12,0,768,0,true
AM028_B04_public_high_entropy_metadata_mutation,28,4,4,B04_public_high_entropy,false,metadata_mutation,metadata,header_semantic_mutation,false,accepted_plaintext_unchanged,true,false,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,69d97cfff121d79e6550c76d912ee782e5e714c1338849bd027812290bb79fc6,bf803cba4e38e80dc86aaf546efffe8ca33d326ccbac6c1f9dbba720204523af,fcb9a2cd9b30e3dc549217eaeb3577a13145383c7ef2629f97769ec28f28e9f6,1205,1205,1,12,0,768,0,true
AM029_B04_public_high_entropy_protected_payload_splice,29,4,5,B04_public_high_entropy,false,protected_payload_splice,protected_payload,same_length_splice,false,accepted_plaintext_changed,true,true,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,69d97cfff121d79e6550c76d912ee782e5e714c1338849bd027812290bb79fc6,bf803cba4e38e80dc86aaf546efffe8ca33d326ccbac6c1f9dbba720204523af,a04c7214453ab4768d389f79a19bc2c874d51e54a5a3f2885c30630819b8d403,1205,1205,767,12,0,768,0,true
AM030_B04_public_high_entropy_trailing_byte_append,30,4,6,B04_public_high_entropy,false,trailing_byte_append,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,69d97cfff121d79e6550c76d912ee782e5e714c1338849bd027812290bb79fc6,bf803cba4e38e80dc86aaf546efffe8ca33d326ccbac6c1f9dbba720204523af,d165682fd62219cdf2dd326c2aeeee42091167f2031e4701c2f4046b72542084,1205,1206,1,12,0,768,0,true
AM031_B04_public_high_entropy_one_byte_truncation,31,4,7,B04_public_high_entropy,false,one_byte_truncation,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,69d97cfff121d79e6550c76d912ee782e5e714c1338849bd027812290bb79fc6,bf803cba4e38e80dc86aaf546efffe8ca33d326ccbac6c1f9dbba720204523af,865fcfc7fde2215bb493bdea743111881e057cbbf4782c9a5b5f8b666d92598a,1205,1204,1,12,0,768,0,true
AM032_B05_identity_nonce_bit_flip,32,5,1,B05_identity,false,nonce_bit_flip,nonce,component_bit_flip,false,accepted_plaintext_unchanged,true,false,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,b35454be761fc7e3b63600c28617c28158531780edf395be48fa59650d884130,3ee3d8cf513c1a4ab3d664741c1ce527759a174a26dc5463e7a18aa5c05f376d,e173c9a9569d35c914494c86094c917158ee6041072e605af0ff629714c4543f,3496,3496,1,12,3072,0,0,true
AM033_B05_identity_public_payload_bit_flip,33,5,2,B05_identity,false,public_payload_bit_flip,public_payload,component_bit_flip,false,accepted_plaintext_changed,true,true,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,b35454be761fc7e3b63600c28617c28158531780edf395be48fa59650d884130,3ee3d8cf513c1a4ab3d664741c1ce527759a174a26dc5463e7a18aa5c05f376d,b097b5f9e4665d511f7f77eb890b2d73d0686039103056dcacea5731e0204f23,3496,3496,1,12,3072,0,0,true
AM034_B05_identity_descriptor_mutation,34,5,3,B05_identity,false,descriptor_mutation,descriptor,header_semantic_mutation,false,accepted_plaintext_unchanged,true,false,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,b35454be761fc7e3b63600c28617c28158531780edf395be48fa59650d884130,3ee3d8cf513c1a4ab3d664741c1ce527759a174a26dc5463e7a18aa5c05f376d,4cc39044edee8d0efe3c0903840106d3c0979896d38e591daa4f4f1928efc37b,3496,3500,2218,12,3072,0,0,true
AM035_B05_identity_metadata_mutation,35,5,4,B05_identity,false,metadata_mutation,metadata,header_semantic_mutation,false,accepted_plaintext_unchanged,true,false,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,b35454be761fc7e3b63600c28617c28158531780edf395be48fa59650d884130,3ee3d8cf513c1a4ab3d664741c1ce527759a174a26dc5463e7a18aa5c05f376d,e7ab339fb6be3560d8bc03417babffd9d5bdd27adc191ce3e1dbbc44c1ed6c93,3496,3496,1,12,3072,0,0,true
AM036_B05_identity_public_payload_splice,36,5,5,B05_identity,false,public_payload_splice,public_payload,same_length_splice,false,accepted_plaintext_changed,true,true,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,b35454be761fc7e3b63600c28617c28158531780edf395be48fa59650d884130,3ee3d8cf513c1a4ab3d664741c1ce527759a174a26dc5463e7a18aa5c05f376d,3541421be6882e70eeb3a769caed0a0b2f5799899a081aa82a456f72d74ef913,3496,3496,1917,12,3072,0,0,true
AM037_B05_identity_trailing_byte_append,37,5,6,B05_identity,false,trailing_byte_append,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,b35454be761fc7e3b63600c28617c28158531780edf395be48fa59650d884130,3ee3d8cf513c1a4ab3d664741c1ce527759a174a26dc5463e7a18aa5c05f376d,37eeff5d9b8b791921b13528b063e2c927422ed39d97267fca1f9e429a9ea170,3496,3497,1,12,3072,0,0,true
AM038_B05_identity_one_byte_truncation,38,5,7,B05_identity,false,one_byte_truncation,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,b35454be761fc7e3b63600c28617c28158531780edf395be48fa59650d884130,3ee3d8cf513c1a4ab3d664741c1ce527759a174a26dc5463e7a18aa5c05f376d,a90557faf615704a2db61c50851f2606c5ad8a00b5202b367621bd64955a6ca4,3496,3495,1,12,3072,0,0,true
AM039_B06_reversible_color_nonce_bit_flip,39,6,1,B06_reversible_color,false,nonce_bit_flip,nonce,component_bit_flip,false,accepted_plaintext_unchanged,true,false,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,4e37e09ef8467d649b356fc52124eaab32511fd1b383049c6ebd5e1035e2aad7,a6c855ea603ce80ae76af7404edc67e6bb143e3a4fa55a5fe8e1bd70df00dc0c,727b9a39395c7a6e1ddc4cb640d16da8989b176c2420819a1887a6bd2c36e7ee,3499,3499,1,12,3072,0,0,true
AM040_B06_reversible_color_public_payload_bit_flip,40,6,2,B06_reversible_color,false,public_payload_bit_flip,public_payload,component_bit_flip,false,accepted_plaintext_changed,true,true,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,4e37e09ef8467d649b356fc52124eaab32511fd1b383049c6ebd5e1035e2aad7,a6c855ea603ce80ae76af7404edc67e6bb143e3a4fa55a5fe8e1bd70df00dc0c,d64148421fb8306927487883f148aed80cf4dc7aaae288badad17fea20de4b4b,3499,3499,1,12,3072,0,0,true
AM041_B06_reversible_color_descriptor_mutation,41,6,3,B06_reversible_color,false,descriptor_mutation,descriptor,header_semantic_mutation,false,accepted_plaintext_unchanged,true,false,none,,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,4e37e09ef8467d649b356fc52124eaab32511fd1b383049c6ebd5e1035e2aad7,a6c855ea603ce80ae76af7404edc67e6bb143e3a4fa55a5fe8e1bd70df00dc0c,4972b36bb2c9ec9d3a9513da1b96b760b13531b8bfb10e48c1677b67964f3f1a,3499,3503,2383,12,3072,0,0,true
